Business Relationship,Fund,Share,ISIN,Date,AUM (€),BR Segmentation,Business Country
"ALLFUNDS BANK, S.A.U.",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,30773,Bank / Trading Platform,SPAIN
ALLIANZ LIFE LUXEMBOURG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,47958,Insurance Company / Unit Link,LUXEMBOURG
ANDBANK / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,23443,Bank / Private Banking,SPAIN
"ANDORRA BANC AGRÍCOL REIG, S.A. / ALLFUNDS INTERN",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,73344,Bank / Private Banking,ANDORRA
Attrax Financial Services S.A,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,6155,Bank / Trading Platform,GERMANY
AXA WEALTH EUROPE / MFEX,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,96547,Insurance Company / Unit Link,LUXEMBOURG
BALOISE ASSURANCES LUXEMBOURG SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,29234,Insurance Company / Unit Link,LUXEMBOURG
BANCA DELLO STATO DEL CANTONE TICINO - MFEX,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,3385,Bank / Private Banking,SWITZERLAND
BANCO INVERSIS S.A.,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,60171,Bank / Trading Platform,SPAIN
BANK JULIUS BAER & CO. AG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,2348564,Bank / Private Banking,SWITZERLAND
BANK JULIUS BAER & CO. AG - CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,-80010,Bank / Private Banking,SWITZERLAND
BANQUE CANTONALE DE FRIBOURG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,30773,Bank / Private Banking,SWITZERLAND
BANQUE CANTONALE DU VALAIS,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,101243,Bank / Private Banking,SWITZERLAND
BANQUE CANTONALE VAUDOISE,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,147711,Bank / Retail,SWITZERLAND
BANQUE J. SAFRA SARASIN LUXEMBOURG / ALLFUNDS INTERN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,588684,Bank / Private Banking,LUXEMBOURG
BBVA (Suiza) SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,9540,Bank / Trading Platform,SWITZERLAND
BBVA S.A. / Patrimonios,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,312,AM company / Fund of Funds,SPAIN
CLIENT INCONNU,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,56930,Unknown,UNKNOWN
COPERNICO SIM S.P.A.,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,2847,Independant Financial Advisor,ITALY
CORNER BANCA SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,304653,Bank / Private Banking,SWITZERLAND
CORUM VERMOGENSVERWALTUNG AG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,20002,AM company / Own account,SWITZERLAND
DEUTSCHE WERTPAPIERSERVICE BANK AG (DWP BANK),EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,512,Bank / Trading Platform,GERMANY
